Date,MoisturizerSales,GoogleTrendVolumeEczema
2014-07-27,0.789361769120169,0.84
2014-08-03,0.786872984623291,0.84
2014-08-10,0.763057529797054,0.82
2014-08-17,0.781067714592228,0.8
2014-08-24,0.766237015281953,0.79
2014-08-31,0.847892107345876,0.8
2014-09-07,0.782253170237551,0.77
2014-09-14,0.748819440746368,0.8
2014-09-21,0.746106976348602,0.79
2014-09-28,0.725772509962035,0.8
2014-10-05,0.805528813575902,0.81
2014-10-12,0.751064279162254,0.79
2014-10-19,0.742809398827903,0.79
2014-10-26,0.736936125888932,0.82
2014-11-02,0.717533988330051,0.88
2014-11-09,0.931003156869467,0.89
2014-11-16,0.877446486279891,0.92
2014-11-23,0.952319930053308,0.82
2014-11-30,0.842501695908353,0.85
2014-12-07,0.864646068151364,0.85
2014-12-14,0.824248382636393,0.79
2014-12-21,0.918288021641497,0.76
2014-12-28,0.851792320367041,0.98
2015-01-04,0.831843904426117,0.99
2015-01-11,0.928038934922278,0.99
2015-01-18,0.886267325140125,0.94
2015-01-25,0.860824154841144,0.91
2015-02-01,0.813000468648752,0.94
2015-02-08,0.912811039375755,0.93
2015-02-15,0.872150994997194,0.99
2015-02-22,0.904391910547534,1
2015-03-01,0.940253826037536,0.96
2015-03-08,0.905426192748013,0.93
2015-03-15,1,0.91
2015-03-22,0.893469512128172,0.97
2015-03-29,0.895078140040435,0.95
2015-04-05,0.972642717843745,0.94
2015-04-12,0.792662275754724,0.92
2015-04-19,0.889392412084626,0.95
2015-04-26,0.844686508127775,0.92
2015-05-03,0.830849858116255,0.93
2015-05-10,0.926960614533968,0.91
2015-05-17,0.856002313153378,0.9
2015-05-24,0.830497083001794,0.91
2015-05-31,0.855788282462326,0.9
2015-06-07,0.893612750990713,0.91
2015-06-14,0.858613578517683,0.91
2015-06-21,0.912685159711493,0.91
2015-06-28,0.854760914137639,0.88
2015-07-05,0.92681181348632,0.93
2015-07-12,0.839160575501875,0.93
2015-07-19,0.806634060747118,0.9
2015-07-26,0.799961250527919,0.88
