,fc_id,turn_full_last_month,turn_part_last_month,turn_sum_last_month,boxes_per_hr,bph_actual_minus_fcast,cargo_loss,damages_per_sales,fcast_cargo_loss,fcast_damages_per_sales,fcast_labor_per_sales,fcast_ot_hrs_pct_tot_prod_hrs,fcast_prod_avg_wage,fcast_receiving_cartons,fcast_vol_boxes_wkly,ft_headcount_wkly,labor_per_box,labor_per_sales,leave_behinds,missing_wrong,ot_hrs,ot_hrs_pct_tot_prod_hrs,prod_avg_wage,pt_headcount_wkly,pt_ot_hrs,pt_tot_hrs,receiving_cartons,temp_headcount_wkly,temp_hrs,temp_ot_hrs,tot_damages,tot_headcount_wkly,tot_prod_hrs,tot_sales,vol_boxes_wkly,turn_full_sq,turn_part_sq
fcast_labor_per_sales,-0.08785126937229548,0.0744739332015143,0.013778415283662034,0.060285586861983646,-0.36936323644593866,0.5824072764491566,0.03305911706753533,0.020302762294269968,-0.3072238184569812,0.019171573803331975,1.0,0.0002915295354544162,-0.2819231587875252,-0.3285327849177415,-0.3760110524211804,-0.2974316585971654,0.12447002744929114,0.12556243477382514,-0.02146184874994867,0.15989208474248046,-0.1160252928809547,0.008905847175195002,0.09652089655405054,-0.33325837932296765,-0.0555095643217934,-0.3306087192155473,-0.35362606411657405,-0.12559829685541687,-0.12575700355825528,-0.07726744425007401,-0.04720962377519267,-0.3124402442364591,-0.30325197874107485,-0.3818376220136139,-0.3686534354273246,0.06508765407263643,0.05547600867465062
fcast_ot_hrs_pct_tot_prod_hrs,0.11385754292223958,-0.05223323765108253,0.01150901253421846,-0.034873393894980266,-0.29602124821260734,-0.328835166704202,-0.02158228075378452,-0.021985969325018683,0.4334978941865604,0.17524256939103247,0.0002915295354544162,1.0,0.3189026371605046,0.15587756696387317,0.13805490319559535,0.2054467869091576,-0.04141406301699419,-0.03410979005032528,0.25590680238772334,0.035883940235929765,0.5071718720047844,0.36747272940428266,0.10382256646902023,0.06808473507319722,0.3692166436452443,0.10872584440225058,0.14057000666176114,0.16219604304279428,0.16221783765642273,0.24552718188038566,0.00416132684718972,0.19614077147752787,0.2604090945043202,0.14660729587970386,0.13482433511389574,-0.04940562639605477,0.00029812252471021175
fcast_prod_avg_wage,-0.154537086664539,0.02246396898670213,0.07155038786872808,0.041766642758231935,-0.03152440564585161,-0.5898408843136126,-3.271037706283027e-05,-0.034021719141334984,0.4792401589380517,0.04447341744753147,-0.2819231587875252,0.3189026371605046,1.0,0.2531457170679819,0.2553392490040967,0.2752603812950916,-0.17150164381474212,-0.16118895791904983,0.0800930699310955,0.020363867388287327,0.1821024604647629,0.13161315610728241,0.29860223667089303,0.24683708295434872,0.11561712601821737,0.2374761529096999,0.2490125179250073,0.06760768821180316,0.0675634716570307,0.07584435618331545,0.009083942916557038,0.2665674354517439,0.26711868048470067,0.24527550458761996,0.24037559225340369,0.06803897032775971,0.10078299071595423
fcast_receiving_cartons,-0.04409814505194467,-0.02678635137733917,-0.037487535061712984,-0.033066577220951125,0.16513332971162198,-0.091909767684183,-0.04727971057308498,0.006665368145509329,0.4075853801605453,0.03844754136274659,-0.3285327849177415,0.15587756696387317,0.2531457170679819,1.0,0.9719714463654915,0.934706966933389,-0.056752288700336544,-0.06623192981530243,0.0760100244330625,-0.035708718926080595,0.405794815233657,-0.017728994652370152,0.051714459302618636,0.8279150709197983,0.16877931851469702,0.830689188035689,0.9592601785847019,0.4603566864420814,0.4603275397502022,0.16073113060740135,0.06576170215617237,0.9481251162657298,0.9378771249788181,0.9520714244968039,0.9593105572944389,-0.02801355615694153,-0.04013528665764576
fcast_vol_boxes_wkly,-0.07599300563957062,-0.02863736032643816,-0.0415372862975319,-0.035862186241926,0.1948373147957708,-0.10161259419769857,-0.0484956618894801,0.04056724377727063,0.41268904618184576,0.03232267164593572,-0.3760110524211804,0.13805490319559535,0.2553392490040967,0.9719714463654915,1.0,0.9389007531147248,-0.04920908493726077,-0.06877346694696303,0.0793215080204979,-0.02746874161222205,0.3850378557368192,-0.0024558698638677025,0.09361194391293047,0.8435244544332822,0.1423212970762203,0.8400018059951438,0.9450137668052782,0.4677707660006849,0.46775149399408933,0.17059717117011705,0.07103092371478394,0.9559504966152075,0.9405810666657349,0.9694653905376219,0.9727867905212222,-0.019438081781401672,-0.04768139695344068
ft_headcount_wkly,-0.07164973601990315,-0.09198677403806396,-0.09310593500614392,-0.10108623391030117,0.06683941591050566,-0.11630594452579654,-0.04919365520157702,-0.012953932458379076,0.48917180287952244,0.055075075401353014,-0.2974316585971654,0.2054467869091576,0.2752603812950916,0.934706966933389,0.9389007531147248,1.0,-0.05886681307127665,-0.07509133025623939,0.09163638666810989,-0.035321574324479924,0.4386583637656699,-0.019336167996228747,0.05216029040322297,0.8319435658746115,0.11774535067111724,0.8165466563870809,0.9413608198880602,0.36749867445523904,0.36746863902419163,0.15163267036069977,0.061323699445344264,0.9784894412023474,0.9716533515030505,0.9441544005620743,0.9513776308040078,-0.07401185218332322,-0.0796715517976434
labor_per_box,0.02705711213646462,-0.008548669870606932,0.008348725518367258,-0.003445246803426492,-0.24642928797624794,0.007983194726739994,-0.00017253242134381702,0.4025596947227183,-0.10188238947991897,-0.005347363081980874,0.12447002744929114,-0.04141406301699419,-0.17150164381474212,-0.056752288700336544,-0.04920908493726077,-0.05886681307127665,1.0,0.8792837481847114,-0.0021073531520198674,0.02705421790757896,-0.020722565436160776,0.08472188591465665,0.14944234987630373,-0.051407814335015185,0.003621781094553643,-0.05022911153237757,-0.06375445923251054,-0.024170840723415955,-0.02415834021552707,-0.0021728207897420207,-0.003354369297087424,-0.05861344404243349,-0.05955415691108836,-0.06058696048841447,-0.06393425389439897,0.008477238279215954,-0.007008532806762831
labor_per_sales,0.03708925312195715,-0.024753897385206117,0.010475968168681841,-0.014769696383772587,-0.27869823651619474,-0.019487203328668753,-0.0009146927188222355,0.2943136379331527,-0.10171427960855232,-0.009264816543566673,0.12556243477382514,-0.03410979005032528,-0.16118895791904983,-0.06623192981530243,-0.06877346694696303,-0.07509133025623939,0.8792837481847114,1.0,-0.006635586431921486,0.00507452895231309,-0.03713222113228167,-0.009984487189205003,0.027045499659457066,-0.06287886237350633,-0.01582156383907505,-0.06184745213084073,-0.07607676491711696,-0.03292724966100707,-0.03292236628106103,-0.011781601831123012,-0.0036710499402759344,-0.07460481184858418,-0.07503217439260107,-0.07302664319247197,-0.07601968359250265,-0.01442063993060353,-0.007831630542505633
leave_behinds,-0.03602715207862005,-0.0038811736671583563,0.018801370010928062,0.0036884119598894756,-0.23653087842748724,-0.21225082834591213,-0.009446852729477356,0.024202710623523728,0.21253874799119585,0.1182565165012459,-0.02146184874994867,0.25590680238772334,0.0800930699310955,0.0760100244330625,0.0793215080204979,0.09163638666810989,-0.0021073531520198674,-0.006635586431921486,1.0,-0.001396927443960391,0.5566674971533331,0.35166352381917854,0.09608985773804268,-0.006797648189182819,0.36057660915213496,0.017666842556826032,0.05771473503680384,0.25525008286597034,0.25528694983796607,0.6728340096171787,0.00035830964355851953,0.11535265254717866,0.17471132684310423,0.06975749970012879,0.06239513468842445,-0.008592147327007258,0.017166912027126016
missing_wrong,0.026350882324779702,-0.010277145052949467,-0.020399282258007044,-0.014791923542682515,-0.1739649799151255,-0.005438906700874954,-0.0018335407079333522,0.14537365666136223,0.0043945140160663206,-0.003856935876660238,0.15989208474248046,0.035883940235929765,0.020363867388287327,-0.035708718926080595,-0.02746874161222205,-0.035321574324479924,0.02705421790757896,0.00507452895231309,-0.001396927443960391,1.0,-0.008998081022370224,0.08421154502730653,0.022739206211086216,-0.03903561521533476,0.005333989867941581,-0.038950016693385145,-0.04852841293924512,-0.011068352332312051,-0.01092873504028958,2.481257433363894e-05,-0.002637482471689395,-0.03623701076243131,-0.03696205890150441,-0.041667288879512036,-0.043920307679309746,0.006283467441646208,-0.016059923705509436
