,fc_id,year_month,turn_full_last_month,turn_part_last_month,turn_sum_last_month,boxes_per_hr,bph_actual_minus_fcast,cargo_loss,damages_per_sales,fcast_cargo_loss,fcast_damages_per_sales,fcast_labor_per_sales,fcast_ot_hrs_pct_tot_prod_hrs,fcast_prod_avg_wage,fcast_receiving_cartons,fcast_vol_boxes_wkly,ft_headcount_wkly,labor_per_box,labor_per_sales,leave_behinds,missing_wrong,ot_hrs,ot_hrs_pct_tot_prod_hrs,prod_avg_wage,pt_headcount_wkly,pt_ot_hrs,pt_tot_hrs,receiving_cartons,temp_headcount_wkly,temp_hrs,temp_ot_hrs,tot_damages,tot_headcount_wkly,tot_prod_hrs,tot_sales,vol_boxes_wkly
25,6367,2017-02,3.0,0.0,3.0,15.211900000000002,-1.3421,0.00275,0.0036,0.0008,0.004125,0.0225,0.022,16.8069,4433.914825,4618.6612749999995,5.75,1.1424750000000001,0.024175,0.0,0.0035250000000000004,10.305,0.03945,17.35615,3.0,0.0,55.559999999999995,3080.25,0.0,0.0,0.0,696.02775,8.75,263.295,189369.56854999997,4009.75
26,6710,2017-02,0.0,0.0,0.0,18.5137,-0.25427500000000003,0.001,0.001025,0.001,0.0012749999999999999,0.0171,0.0,16.4411,119006.159575,140007.246575,134.75,0.917775,0.017425000000000003,0.000175,0.002375,66.9875,0.008199999999999999,16.978225000000002,54.0,0.3625,1260.3575,121712.75,64.75,1619.1955,13.6475,7309.839749999999,253.5,7422.4005,7228814.42465,137299.0
27,6818,2017-02,2.0,6.0,8.0,17.8175,0.529325,0.0007750000000000001,0.0024000000000000002,0.0012,0.0025250000000000003,0.02,0.0324,18.4692,171517.121425,194659.35632500003,251.5,1.0242499999999999,0.019,0.00185,0.0036249999999999998,168.15749999999997,0.0165,18.179299999999998,56.75,0.0,1306.91,157919.5,3.25,78.875,0.0,23333.95575,311.5,10087.1675,9691398.589949999,179710.5
28,6913,2017-02,5.0,5.0,10.0,16.785424999999996,-0.91905,0.001375,0.005125,0.0016,0.0028000000000000004,0.02,0.05,19.0151,146868.84740000003,170148.293775,199.5,1.006125,0.01865,7.500000000000001e-05,0.004325,487.7299999999999,0.0505,16.819975,43.25,1.31,1186.2425,175580.25,26.75,671.4025000000001,0.0,44239.402,269.5,9529.537499999999,8622209.671149999,160042.25
29,6920,2017-02,9.0,2.0,11.0,24.4976,1.072375,0.000975,0.004125,0.0011,0.0035,0.0121,0.02,16.4388,175886.644975,208801.83732499997,180.5,0.6803999999999999,0.011825,2.5e-05,0.002375,155.3375,0.017499999999999998,16.6189,59.5,1.42,1306.3525,189891.0,54.75,1369.125,20.72,51460.06775,294.75,8875.102499999999,12499056.331775,217450.25
31,6926,2017-02,20.0,11.0,31.0,16.94895,-4.60085,0.00065,0.002,0.0008,0.0021999999999999997,0.0217,0.0169,19.7704,35350.44235,41109.36615,42.5,1.0799750000000001,0.025275,5e-05,0.0018499999999999999,7.972499999999999,0.0035250000000000004,18.23085,4.0,0.0,84.91999999999999,31100.75,26.0,646.74,0.42,3252.05875,72.5,2242.145,1623069.4417249998,37987.0
33,6932,2017-02,6.0,4.0,10.0,17.8686,0.36429999999999996,0.000725,0.0026,0.0011,0.002825,0.019,0.0295,14.878,57080.918575,71510.24394999999,79.25,0.82565,0.017525,0.000275,0.00435,237.67000000000002,0.059175,14.733274999999999,5.25,8.2225,145.1525,57254.0,27.0,670.875,23.3125,8492.4615,111.5,3936.565,3311764.9189750003,70321.0
34,6954,2017-02,3.0,1.0,4.0,17.616925000000002,-0.801475,0.0012000000000000001,0.0033,0.0016,0.0015500000000000002,0.0171,0.02,15.9949,108184.95267500001,126288.535075,154.25,0.909925,0.01755,2.5e-05,0.004425,198.8675,0.028399999999999998,16.028025,39.0,1.5125,955.0725,106681.75,9.0,226.11249999999998,3.6,20851.1815,202.25,6851.369999999999,6256476.481775001,120737.75
35,6986,2017-02,7.0,3.0,10.0,20.176225,-1.301525,0.00145,0.003575,0.0012,0.00285,0.0161,0.04,18.4532,124316.2812,127520.863775,136.75,0.91425,0.016275,5e-05,0.0028250000000000003,180.105,0.028775,18.349425,46.5,10.9925,1247.2525,114929.5,1.0,30.453350000000004,0.0,24650.2565,184.25,6063.36835,6856578.357125,122393.0
36,7043,2017-02,2.0,1.0,3.0,16.999425000000002,-0.17222500000000002,0.0031000000000000003,0.0029,0.0015,0.002575,0.0189,0.035,17.0803,76177.14045,83890.03232500001,107.25,0.981225,0.01825,7.5e-05,0.00365,136.815,0.02735,16.631950000000003,25.5,0.0,498.63,71098.0,19.25,484.105,4.922499999999999,12907.08425,152.0,4936.25,4501233.66485,83730.25
37,7045,2017-02,3.0,3.0,6.0,22.885375,-1.37565,0.001375,0.003075,0.0012,0.002225,0.015,0.0196,17.5582,62670.653000000006,71367.62615,69.25,0.764,0.015625,0.0004,0.001775,21.244999999999997,0.007075,17.424275,22.5,0.0,499.9375,60436.75,0.0,0.0,0.0,10311.62775,91.75,2952.5400000000004,3307207.495425,67561.5
38,7050,2017-02,3.0,0.0,3.0,16.14835,-0.5252,0.00115,0.003875,0.0016,0.002425,0.0231,0.05,16.2828,48735.36455,57967.3955,98.0,0.9834999999999999,0.022425,0.0,0.003975,22.595000000000002,0.005750000000000001,15.831175,8.25,0.0,156.33249999999998,52950.5,15.25,379.5075,1.0699999999999998,10414.944,121.5,3813.215,2699358.671875,61545.75
39,7072,2017-02,4.0,3.0,7.0,21.495350000000002,-0.09667499999999998,0.001375,0.00345,0.0012,0.0024749999999999998,0.0163,0.02,16.3044,65696.492125,68104.82237499999,70.0,0.766175,0.01585,0.0,0.003075,46.087500000000006,0.015075,16.468975,18.5,0.0,391.8475,65622.75,7.75,186.2525,0.0,10931.1505,96.25,3026.565,3148662.25985,65061.25
40,7077,2017-02,2.0,0.0,2.0,17.785725,-2.28105,0.001475,0.003075,0.0017,0.0025250000000000003,0.0188,0.04,18.4359,154419.6134,168881.53075,196.0,1.0338999999999998,0.0202,0.0,0.00365,200.8525,0.023174999999999998,18.269075,55.25,0.0,1313.4525,138876.25,2.75,68.3275,0.0,23560.10425,254.0,8502.89,7740019.017825,151169.75
41,7133,2017-02,0.0,0.0,0.0,15.464575,-1.9250250000000002,0.001,0.001,0.0011,0.0026249999999999997,0.0196,0.03,16.8891,170107.1361,184188.897275,237.0,1.06685,0.0211,0.0,0.0036749999999999994,286.06,0.024475,16.46785,74.5,0.0,1928.91,172116.75,42.75,1068.1875,15.875,9141.724,354.25,11625.975,9090347.557675,179818.5
42,7144,2017-02,9.0,4.0,13.0,22.188925,-0.37834999999999996,0.0,0.000325,0.0,0.0002,0.0245,0.0114,17.5785,16146.585674999998,13795.136050000001,15.75,0.7822250000000001,0.0237,0.00175,0.00195,21.705,0.03185,17.293525000000002,3.0,0.0,66.55,22451.5,0.0,0.0,0.0,161.1125,18.75,671.7875,490899.6746,14889.25
43,7163,2017-02,0.0,0.0,0.0,17.548624999999998,-1.3582,0.000825,0.0030499999999999998,0.0009,0.002275,0.0185,0.02,17.2199,41115.019125,38653.72012500001,55.5,0.9935750000000001,0.018675,0.0,0.0027500000000000003,15.860000000000001,0.006725,17.28885,21.25,0.0,411.12,42106.5,0.0,0.0,0.0,6476.5275,76.75,2280.375,2125943.17475,40020.5
44,7199,2017-02,0.0,0.0,0.0,15.138349999999999,0.346225,0.0,0.00215,0.0008,0.003175,0.0187,0.02,18.3834,29131.643050000002,30951.958775,42.75,1.2685250000000001,0.018775,0.0,0.002975,15.555,0.0096,19.177650000000003,9.5,0.0,170.80749999999998,22090.260000000002,0.0,0.0,0.0,3565.9407499999998,52.25,1609.6425,1644884.360225,24365.75
45,7210,2017-02,0.0,0.0,0.0,15.33785,0.930825,0.001675,0.0018,0.0017,0.001275,0.0239,0.0316,17.4693,70600.824725,76737.254525,131.75,1.167425,0.022850000000000002,0.0001,0.00485,425.32500000000005,0.07039999999999999,17.87875,15.0,0.0,369.9475,86490.0,13.5,333.74,0.0,8472.329749999999,160.25,6010.317499999999,4710826.23735,92177.0
46,7212,2017-02,0.0,0.0,0.0,20.320525,0.125225,0.0018249999999999998,0.002875,0.0016,0.0033,0.0188,0.05,17.1958,85138.445275,91991.30015,83.75,0.8255,0.017525,0.000125,0.004,132.0425,0.030299999999999997,16.70655,54.0,3.845,1156.71,66569.75,5.75,143.125,1.4375,11795.645499999999,143.5,4239.905,4059814.2449499997,86143.75
47,7214,2017-02,2.0,2.0,4.0,25.218525,-6.758125,0.002075,0.0038,0.0009,0.0027,0.0116,0.02,14.2637,24633.027775,31889.284525,26.25,0.57155,0.012575,0.0,0.00195,53.915,0.047,14.4036,3.5,0.0,90.99,23769.5,0.0,0.0,0.0,4947.205,29.75,1130.9,1297448.48875,28551.5
49,7221,2017-02,0.0,0.0,0.0,19.67565,-1.5790250000000001,0.0009249999999999999,0.00065,0.0009,0.00145,0.0157,0.0293,15.8058,126820.42534999999,136319.68287500003,147.0,0.789625,0.01615,0.0,0.003125,192.7125,0.02845,15.4814,28.0,1.135,699.4425,118173.75,25.25,630.6600000000001,0.0,4130.83925,200.25,6647.137500000001,6403339.217275,131004.25
50,6367,2017-03,0.0,0.0,0.0,13.1652,-3.017375,0.0011,0.005275,0.0008,0.004375,0.0219,0.022,16.8069,3823.178525,4202.286925,6.0,1.27825,0.0252,0.0,0.00115,3.4774999999999996,0.011349999999999999,16.8153,4.0,0.0,76.44,3913.5,0.0,0.0,0.0,1025.47675,10.0,288.9175,193712.66617500002,3805.75
51,6710,2017-03,0.0,0.0,0.0,18.971325,0.24014999999999997,0.000825,0.0007999999999999999,0.001,0.001075,0.0161,0.0,16.4411,114474.65440000001,133134.06695,146.75,0.886925,0.0164,0.000275,0.00265,39.9975,0.005075,16.7597,59.0,0.0,1351.9025000000001,116564.0,47.5,1186.0075000000002,0.94,6083.71825,253.25,7440.2425,7624374.619350001,141068.5
52,6818,2017-03,6.0,7.0,13.0,17.865299999999998,-0.103825,0.0009000000000000001,0.002275,0.0012,0.0022749999999999997,0.0193,0.0188,18.3452,174932.88919999998,190244.400475,249.75,1.0258,0.0188,0.001325,0.003825,204.09,0.019275,18.282049999999998,54.5,0.0,1275.4775,158735.75,1.75,37.1875,0.0,22398.825500000003,306.0,10121.810000000001,9868243.621875,180712.0
53,6913,2017-03,6.0,4.0,10.0,17.01965,-0.09427499999999998,0.00115,0.005475,0.0016,0.00255,0.0205,0.04,18.777,179781.42892500001,169602.4646,198.5,1.00275,0.01895,0.0009249999999999999,0.004574999999999999,596.735,0.062075,16.991325,47.25,1.8325,1265.3200000000002,169651.25,22.75,563.725,0.0,47042.38325,268.5,9577.920000000002,8630327.651725,163088.0
54,6920,2017-03,8.0,3.0,11.0,24.5678,1.743725,0.00125,0.003375,0.0011,0.00315,0.0124,0.02,16.4624,178786.78795,199941.55775,174.25,0.678075,0.011899999999999999,0.000725,0.002375,146.785,0.01635,16.615875,59.5,2.37,1250.68,184766.5,61.75,1549.5675,9.9475,40575.6575,295.5,8643.5875,12079542.931,212152.75
56,6926,2017-03,16.0,2.0,18.0,17.460575,-3.50325,0.00065,0.001975,0.0008,0.0018999999999999998,0.0224,0.0124,19.7517,33864.594025000006,40607.3462,43.75,1.055225,0.0243,0.0,0.0012500000000000002,9.2575,0.004275,18.4236,3.75,0.0,75.2175,30427.5,18.25,455.1575,1.4725,3176.282,65.75,2140.3375,1623252.204375,37368.75
58,6932,2017-03,5.0,0.0,5.0,17.793925,-0.1017,0.00065,0.0032749999999999997,0.0011,0.0021999999999999997,0.0189,0.031,14.8886,61431.169025,71239.479325,78.0,0.8274249999999999,0.01765,0.0,0.0044,91.1725,0.02305,14.646175,5.5,0.0,132.245,63054.0,36.0,895.625,10.875,10645.9185,119.5,3893.5225,3247866.86885,69295.5
59,6954,2017-03,5.0,0.0,5.0,18.309925,1.638225,0.0009,0.0022,0.0016,0.002025,0.019,0.02,16.0213,112636.2849,123824.3162,157.25,0.874225,0.016825,0.000275,0.004425,87.72,0.01305,15.9203,38.0,0.0,923.7225,106793.25,5.75,140.83749999999998,1.275,13536.587749999999,201.0,6547.76,6233744.722375,119952.25
60,6986,2017-03,4.0,1.0,5.0,20.646224999999998,-1.127175,0.001425,0.003775,0.0012,0.0031249999999999997,0.0156,0.03,18.3923,114418.434225,129612.6126,132.75,0.896575,0.0162,0.0,0.002775,240.34250000000003,0.039049999999999994,18.50065,45.5,14.589999999999998,1278.8374999999999,116265.25,0.0,0.0,0.0,26298.785,178.25,6071.5725,6942678.2453,125361.5
61,7043,2017-03,4.0,1.0,5.0,17.0197,0.9385000000000001,0.0024999999999999996,0.003,0.0015,0.002025,0.0202,0.035,17.0016,75516.29705,83477.665375,114.25,0.9679,0.018000000000000002,0.000225,0.003275,106.7175,0.021425,16.472,26.25,0.0,515.9875000000001,71980.0,11.25,280.3375,0.3875,13687.8705,151.75,4961.8475,4541156.7546999995,84446.75
