"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
0,1224.24951084135,1869.76288928497,1819.67995475055,3878.64504116555,1852.9010190499,3320.17827486014,3955.79798964192,369.131655396022,239.223026287268,157.537114872103,776.016158444065,3139.07288152562,7079.80230745373,2330.07268820791,801.035511004271,36.6526507866765,560.829694189069,768.217314505148,44651.2087366018,21753.2834575226,14357.3481045014,33365.16602897,11337.1855898812,7966.30201293502,19878.8000729726,13399.8141086794,67103.5051584233,20703.31792451,14804.1585833534,14852.0086836952,19077.2041726868,41977.3317153204,9486.15996920269,4652.54846268413,8474.83075228259,4120.47268143314,6002.41268848661,479577.817809572,109602.875539808
0,1313.28583890254,1062.87116623044,1702.81977417024,2220.3434310259,2340.25020364634,1500.48077596251,426.337219865092,608.118361410705,285.900689953077,2042.14778537912,758.512034569387,811.024406193421,869.089785361285,2019.39632978019,1163.22927289378,97.740402097804,610.877513111275,7764.25319164431,12942.7047800808,7631.81442015064,23398.5445815428,39114.8759044488,18423.9294580919,9494.83395702776,41205.3230916075,92629.5583440961,917084.795368423,429523.11359866,38474.4795278697,130488.608042966,66723.5321481715,24032.1950111022,11454.4837109849,11764.7952841979,17171.1222825485,5309.34238355286,22929.8399546843,192798.091667933,0
27.8238525191216,1174.16657630693,2274.34303089191,1713.94368256407,1331.43615044259,2730.20690944469,3407.47582934731,571.801379906153,595.140211739057,548.462548073249,1301.13987468441,338.413061577111,1925.4536262146,787.40387394612,2169.37802005564,1407.97062197306,9181.48902206247,4044.00913679664,3610.28610248764,9977.65447142169,3062.0431612582,11507.5995144466,6997.92719321259,9095.02145318013,19515.4354066207,33773.3013637145,54520.8929774031,895281.79242674,610394.165471999,74466.3954165959,34630.4752323074,18926.3855612068,15497.7298419588,22763.9482848803,27675.9084151621,21610.411639463,11238.1080451869,28032.9130842587,13659.550366308,0
11.1295410076486,896.677752896468,1282.79636487412,2618.80273243283,2220.34362609013,5211.81375349072,1409.78237506916,600.974919697283,595.140211739057,956.892105149073,991.900352898429,495.950176449214,2432.11678054063,567.787827471352,11130.6030428349,6998.85186962452,1007.9478966336,1160.66727491142,5595.63802009928,6201.94873055549,3255.88360781299,2480.89668978955,5149.39976808732,9677.26296414844,7569.94809283283,50098.6601220924,74537.6410291741,125608.945425952,69824.7856159628,41791.0810734596,23481.8740920642,23308.9494191075,18165.8325978067,12985.4097205578,11696.8609045694,21927.9112373431,6440.84296169266,28708.6593501868,16253.3067376315,0
16.6943115114729,2886.91070627365,5030.81699529017,7603.32903449672,4656.43193360353,3215.89723447664,2864.54453311229,1657.0570601362,2667.6002534457,8557.04688238279,6219.79868346897,208.614829436687,1533.19615442129,1178.42756644998,1250.22829563792,311.54753168675,268.786105768961,714.726690340192,805.293299174063,14718.1887152457,3481.50341865374,5039.90681739739,5824.27198130175,29375.7229041737,9473.65804364021,59597.6992553404,54842.0015408841,26211.3901575945,18532.9290648579,16667.7853557709,18053.0644955778,22448.3391607262,33075.3122364631,17845.5154947443,13327.603506842,6417.79982252513,11830.2192720056,77853.1979105706,1480.37708426246,0
0,15559.2680531571,26223.9822594972,16282.2787183347,9811.48147864696,6260.11490275157,8717.75403439488,4219.56010477643,1634.45299766322,4283.73867052643,4576.96816051968,1697.31054779455,3122.83305109244,599.926761101806,524.93591596408,1186.66903193392,1038.74646062861,540.853196794948,641.239065592056,5591.15664348032,9079.48811700495,2330.40178462142,7158.11656277659,7952.26309418916,3876.71186765487,10863.2873981533,33972.8067401164,11315.0239467403,20233.5564981462,28960.6341112073,16335.2131709901,10964.8754832368,11996.9519606107,30886.0322280138,47021.3558473031,8904.60897424913,26933.8465481291,189677.455534378,0,0
0,4023.20442271496,21248.386428418,8758.62528749285,6245.66850309263,7551.66998475296,1257.9940436242,5343.19500656309,573.665151476285,3664.53457192072,2935.81171223335,864.05224121012,5929.63325481874,2126.52610854837,1456.96499124724,4118.02048392692,2367.97248212816,2225.89008779541,1772.38791273962,4086.90158387369,7153.80031345421,6542.9393397085,18570.1312849721,4474.60297377235,4694.24550769423,5937.90959763751,6417.12298782666,16246.1770441162,48389.8627857636,18934.3263200833,12533.1412576647,19946.9040056839,20785.2226376233,21905.3345284946,21893.7141736496,45824.1328146333,58916.6307049938,102511.311210743,0,0
0,72623.7112121545,16439.6913246221,1616.4889457395,6309.42178844148,3557.50208454563,3577.03620346025,101.114655171932,1018.11997621394,3539.01293101764,21045.7951247512,4780.23251059701,5094.02098042694,1167.71458857316,2517.54980105222,7036.29360085852,1379.00261331433,3035.30466517556,4271.91026950635,10163.865072411,2536.10443394116,6373.23774300137,7638.68591287303,1850.80550716346,620.635415000231,7352.57260119949,6857.41519962419,45588.1640944193,36515.5279489258,18553.5098455397,26327.4574344998,40074.9581062804,14826.8624165965,33143.7385486176,12910.2065490231,27119.6610142696,41686.9992440539,33628.6947863161,0,0
0,44864.131909865,8286.43034257876,3867.17517804878,8145.93176270993,9347.59292585345,3654.76216300373,8020.28861093717,1655.18152264839,9203.44377983875,17050.280820361,14898.2526654598,5115.44693618058,958.811519975207,1569.45125895383,4406.43159508647,8753.66876277792,4406.81269906971,3589.75401020094,4651.82620696642,1488.14759999819,54332.794545735,3631.77675424556,2264.75496721308,4780.13119966039,3566.72999081158,6552.45261933836,10668.2706442165,21193.6070784183,24502.7197163871,38691.8997744325,15406.5371031116,103617.354848812,62735.1536956232,46023.869650091,56756.3023900518,71141.2048423418,18798.1984524947,0,0
0,29951.3333432784,40747.9261006156,5641.00178000929,5234.01289587992,534.357308995538,2899.46411218718,3275.34039058402,14970.3266594255,13852.2527720121,80978.1007668547,49109.6714541223,2175.3643076103,294.606891612494,717.769517746803,2767.00901240016,2031.18870114607,502.1368211525,864.379288211756,16134.7613507815,7938.16278048317,4779.92830725103,4103.95280441902,3276.66909875706,1785.28476001699,5999.49966553277,1725.0025584723,5012.85494333338,27764.4916176627,24058.1990456862,28049.5722341697,16637.8277885122,64676.2805396786,20284.659136689,37592.3879069501,64194.8338087363,57294.0290615734,9338.61596224318,0,0
