"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
0,2863.08028216163,6017.34546165425,2723.57234272405,3821.56832878641,4114.40917593783,3037.78927175375,975.386945062312,2625.78215660373,4780.96223953144,3403.44696622408,3775.96354959189,3344.18296432465,4546.3955742844,1793.5513415463,2157.59112832641,348.959511879223,1268.16993341474,272.35864341793,1090.05317154359,1691.07486047574,240.262002034804,268.07645590718,0,0,0,0,0,284.45205907493,553.528331172838,4335.15139467842,1234.83998801487,2432.40856327787,3904.57961951793,54337.2996390182,7453.20597362633,4576.66222907507,2017.32256119563,657.351794552301,3927.26613935941,2568.16034005977,6961.52802886361,4410.28283613655,5036.19509001184,4805.01360942903,7307.07180107923,8013.32917818099,6419.1399345277,6347.95184661291,635.32907463998,1087.56730734023,594.331806321759,781.236144786223,4055.44843888218,372.01104350681,132.928657419922,1183.0650510373,6008.37531538046,0,0
0,344.148033916398,2316.58969056183,3551.15965629126,4583.02239928689,1606.1371885577,3216.324271957,4924.1853039651,3432.41703504627,5251.2065932945,11564.855360015,1625.52690924135,2370.56007597697,3102.91627454473,2119.29069409577,1391.58244371349,2383.13812990689,1485.2057273884,812.820326450385,656.701899559101,244.882425150858,429.699349793016,198.770109166371,313.175960155583,614.533959550578,5.90898038029402,0,0,4533.44381411671,2427.53323932016,5000.20407378131,4130.37728582552,1089.59965315618,1100.8506416262,23941.5593527829,5521.45399940641,3075.88407865279,149.604201518799,181.338426083393,15682.6594749243,6686.57692184126,7722.43012204209,4136.17057628661,7090.29482654803,9314.43665653566,7658.82003491864,4453.8737327033,2683.30628255496,5584.53476929432,1115.83005546013,1417.01940482215,7658.99018521826,2866.50069085987,5810.43685159129,1070.32712201425,412.078838001757,4107.49551427558,5841.96434061864,0,0
0,639.132062987596,3068.57554700026,1537.94914894395,1167.71653866268,5096.64005502954,3852.44875625816,1795.52198883443,2062.15025409368,2892.43187731591,43400.9025101686,1878.5451345363,3321.32250149266,4606.77127208747,1421.37167033732,1783.09799362676,1131.99061170577,1374.56002849987,259.591832007715,2552.53465439181,2462.68552085674,318.809195007721,255.411828647206,153.633489887644,88.6347057044103,47.2718430423521,0,59.0898038029402,2310.41132869496,418.965365945234,508.172312705285,177.269411408821,10039.3576661195,1182.65670920986,525.04931725429,875.51084413614,2276.18578361257,0,1568.57738562135,1752.84697552172,20870.9987488019,6053.14003056815,4706.43647178923,13330.4081729618,2778.01121257473,8242.85483827466,12726.2429958109,39.6606807030559,1632.91618274114,2319.78194024575,1636.56559133679,2471.86773214576,4001.86099748107,6209.64463289179,1647.32471415073,0,4147.37411150155,4059.26355469452,44.1476884180663,0
0,289.200028501175,1225.15641096948,909.59764713709,2660.03298157456,2255.33699705608,553.481030565453,3918.42298691123,985.512069059499,5536.71751228443,11934.8359324764,4357.48477875094,2710.39943520206,2981.38998421224,3149.14681451982,1885.23248490848,1774.58678601995,1161.77983832961,3510.87313780925,6439.27899591775,4163.00122756459,401.976811096692,355.772579936153,93.4760742028914,76.8167449438222,106.361646845292,88.6347057044103,82.7257253241162,531.808234226461,348.629842437347,1796.33003560938,2204.04968184967,2251.32152489202,1144.35033897781,249.429854911899,12896.657271013,2290.8030925957,22.6754413556272,2470.73605538623,2230.46264082574,3998.51229513882,2918.47218771321,9473.55765453277,4443.46939098725,3391.38909471426,4798.37685029998,25616.1316233327,15.7535689115862,1114.3303550997,3736.54424626685,1189.50343461039,3223.5985272527,4439.63363698452,5651.17503074513,6919.46800720669,1786.86569605517,980.952160227048,11705.4442434187,3897.61020605214,0
0,101.220009975411,234.252023085952,788.285315757179,3907.84560050652,1230.12261837773,975.386945062312,347.629257236741,496.131075862145,802.319989684844,2437.75372237815,1151.1614800119,2275.23680755294,2209.49004973369,2476.7614135818,6077.00223126256,2298.02605383879,7860.10022488933,204.268982563448,1064.99540878924,1386.12693481618,438.940196025123,207.919040222427,73.9267698568629,64.9987841832342,555.444155747638,443.173528522051,194.996352549703,165.451450648232,3462.66250285229,1104.97933111498,1648.60552610203,1199.52301719969,1571.74683923644,844.660190497113,3038.50914165404,1144.51557411081,417.051687197793,3045.71003408525,2874.21405342178,8436.77027352987,13753.312126696,8607.59812815707,7952.27107007986,4752.45894848299,5739.24454255509,6769.49431162653,26.5316751214214,1879.32698776735,3533.13473700262,9374.5252095689,2719.4966999457,676.557715596246,4620.9334169809,5716.49676042063,2894.82699769892,1229.8284630747,6104.99462695545,1229.8284630747,0
0,361.500035626468,1613.73615903655,884.952087213595,1432.75521299437,561.52597769835,745.884134459415,1971.024138119,978.761986394707,1086.3062092969,2651.05717308624,1753.82837248872,944.629567421533,2516.96775012511,1693.73031375525,974.533270979781,1123.47940409896,2506.55064020564,1697.98591755866,727.708250382282,1069.62701910024,1113.521970969,434.319772909069,170.955655293995,126.352841956175,750.44050829734,342.720862057053,147.72450950735,1760.87615332762,1500.88101659468,2286.77540717378,880.438076663808,1524.51693811586,1480.23069303538,833.322469819299,5260.70239450551,1819.14656561593,4660.09972233493,4308.76759253679,17050.3455124911,3778.03605076297,5387.96053968629,5768.49842389241,5248.32588565481,2727.28822482103,8449.77306025528,3654.46619725957,815.995871243351,1622.85412826028,2281.72406044224,1861.63920435307,1008.20365461401,260.894805360644,1308.89597265679,2921.93283376143,2478.57736404286,1065.85133466474,1885.73697671454,2024.4868545999,0
0,124.356012255505,740.352072963007,786.624077523195,398.460946131474,408.100355255396,276.753389256435,1306.14099563708,637.882811822758,1683.43356313241,1013.78096617702,1245.96301365994,1093.60340601131,1899.12893380615,1263.91432961133,1451.16089696116,404.28236132349,778.775496023144,1221.35829157728,1600.10703008034,655.613035218629,2411.86086658015,517.48738899804,554.450773926472,133.992270365564,116.89105034164,230.450234831467,372.265763958523,6606.24006516871,590.898038029402,1914.50964321526,685.441724114106,1536.33489887644,2266.85558054949,1785.69100675564,38212.5796434451,5485.94017945757,2584.90866563602,5816.43001662484,9858.59639611398,7072.0641222356,3152.7384882523,3718.92553628113,3190.95011188613,4327.38472549895,3843.98977575472,5963.83871956061,3121.81532601047,2617.79194531358,773.840524374792,698.667444864098,2135.79984727443,614.650473646263,645.604094621255,1796.78310634033,946.021894672849,1519.94184410771,4225.56446287206,4944.54110282342,0
0,54.9480054152232,393.312038761598,705.648069542866,306.552030211245,312.730625594177,448.880497208607,1964.27405545421,175.502149284568,1836.44691959657,1852.86203098864,2177.04950484604,1371.23646883771,1274.66076177447,1119.22380029556,1697.98591755866,136.179321708965,63.8340570510774,978.788874783186,106.390095085129,1615.92954020006,392.735964864584,1792.72416902893,2093.05167157243,267.984540731128,60.0655005087011,11.817960760588,271.813097493525,1087.2523899741,2984.03509204848,6050.79590942107,1099.07035073469,886.347057044102,2663.38360549896,1003.3882799865,55775.5729703476,13321.489944036,3743.35575046276,6822.9957096726,8531.53915530108,8868.63660522512,2247.0738525876,3825.66487675345,3807.01280167888,29373.2060825467,8500.44257193853,14375.615339977,3193.55613746359,4811.07708868442,1998.71952581375,371.4434516999,1826.26363752451,1512.30548192102,1034.73532973544,920.035741832497,1115.36575897338,2970.50874927274,5859.02893434051,5249.8010468318,0
0,627.564061847549,1605.06015818152,2035.96820064827,552.372054437244,501.765172449184,874.135705090446,654.758018484735,538.151189175971,2026.50520830427,5439.92639971329,2682.9417763754,1716.58491284128,1533.00847936033,880.909987304868,1170.29104593642,365.981927092844,126.436740436743,464.368093352797,220.407754601066,1285.68126042188,281.84581007929,420.458503560908,1219.79170263824,300.327502543505,304.947925659559,27.7225386963236,2877.67344520319,307.266979775289,82.7257253241162,714.986626015576,1359.06548746762,868.62011590322,2811.8573197054,2636.83317029239,18097.3584199138,13705.8946249497,1915.70109765808,500.982284121745,5403.14952272783,7832.76182917701,4587.85032626183,1881.04020948404,4675.51820736169,5795.4595090192,13307.4021094245,18032.8877564447,2254.31940688139,3506.6030618812,252.050913653504,1861.63920435307,1640.54191167456,2184.4412516637,3384.87484980694,1340.31830559883,676.435380461566,2411.68508798933,2235.58272612142,1826.72602083058,0
0,2779.21227389629,1336.10413167543,662.26806526769,1555.89615333632,1012.20009975411,373.161726755881,2585.28166061499,1967.90519542579,1794.69095938386,3237.92160588837,1290.00134724399,1330.60724013141,613.73219337608,323.425889058792,570.250909656291,340.448304272413,140.166969169074,758.512034569387,167.279696144325,369.596070792307,366.485557812971,425.078926676962,401.976811096692,4213.82588184119,64.685923624755,50.8246542765932,2138.4622915798,915.891958945573,183.178391789114,969.072782368219,3330.62137775202,13351.0670088348,2346.7773532738,1454.28170442416,4440.23310712695,21642.0242153197,1966.33636896181,4466.2919892538,12636.8231032309,7305.23927527779,3423.66347719652,365.610632265911,4984.53647620187,3750.10635895853,5407.52424450506,3811.24339746956,2794.66977945639,2011.98536337446,1560.10304519295,3057.00508005524,2193.28514337084,3570.24795125091,1491.62149947497,1059.91370640716,2094.19057839767,3255.1005729442,2816.91395735556,8581.62878321654,1553.5707279961
