"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
0,8835.30328332257,20772.2288414378,8746.60578572926,11920.5981338493,9815.99680822147,3446.26853121462,2379.40413933886,3452.23927429172,2395.95893393387,220.123435626433,241.289150590513,550.308589066082,468.116418374567,0,0,0,110.890154785294,0,0,0,0,0,0,0,0,0,4140.63220919137,9917.17295602363,10084.5455657217,23806.180899669,5754.03229983586,12784.3036919974,18388.2387695289,3603.90189667325,10708.6015305222,3235.06302517779,6949.82798175627,7930.35551088069,2910.02720061127,3943.4417381942,8571.09474989798,4154.96946060499,4408.00136956821,3043.17287852764,5381.61098518571,4751.62081033262,747.445970164683,71.91199594732,5503.24641718476,93.0500601939451,22996.6577336464,0,0
0,4541.0130674053,9674.31468458866,11164.2848635158,13195.4816550153,22979.1438709397,4438.94265009756,4262.67720281557,3603.37276320768,5215.23216714933,4791.91786786773,6320.08248827432,4651.02321554152,1749.05316319952,34.0448304272413,174.479755939611,480.157320224468,417.417721111337,36.9633849284314,0,0,0,0,0,0,0,1160.87191676526,24201.4887018346,10574.8710744564,10545.1550373262,4489.95245176427,3750.1969026331,34133.9730989195,6309.36942331567,5804.33041997034,10408.2104268612,7388.57974828129,2164.50871485675,3551.39943656598,15655.5176210966,4956.83909370422,4596.32541405875,3484.47409033991,2945.12899593863,2909.70038385537,1943.35952242817,6187.78485300619,8243.26127095907,5572.94123791003,2047.10132426679,2818.08753730234,46790.8874118124,0,0
0,6629.21670890637,12228.1414669483,7191.85562329739,11070.1214098491,10164.6501916154,10877.7582143108,5265.06447853705,5534.11159870182,4461.73271442808,2696.5120864238,4101.91556003872,3078.15826949286,5442.9172645552,3787.48738503059,693.663419955041,893.676798715083,1025.12465655456,457.421888489339,147.853539713726,0,0,0,0,0,7.68789348851163,6926.79203314898,15852.436373311,15821.05036836,4638.60357481921,7740.35607393421,27160.0494238714,5278.96111546701,7110.11898673581,7567.52567630454,4554.53522250335,1608.7564772584,3106.36250699712,8149.0508419756,9109.30829503686,13751.91744281,13232.0219954065,12276.5059363918,13231.8693822898,2722.8388913142,1356.08054587021,176.183692967389,1361.4194456571,6330.2438477855,903.914870455467,3389.680764208,15898.2674274226,0,0
0,4341.61522600128,8757.61198273467,5057.83793869487,7862.06261590579,4473.33882232783,7509.46696458008,5200.93869322153,9968.04304751042,11082.9772218001,4631.05843414072,6383.57963316656,6473.54324432191,4562.00727725033,2817.20971785421,2770.39807601676,1161.77983832961,1500.78005254637,1871.27136200184,591.414158854903,480.799749597764,124.088587986174,525.899253846167,0,0,4690.75951010338,2953.29558169975,7130.0369246162,4881.82536476756,4814.36568605916,9064.81700214073,81342.5419414109,7139.30634300885,3744.20639504623,598.416806075198,18773.7195004443,7394.42977183496,14016.3724554729,11183.0024105777,8734.02576578913,17709.2050600097,11590.561784735,10946.3478740434,12226.5679677376,2338.43810665808,1690.94867510546,7728.9443428318,4793.99775459897,6921.26552845168,624.764689873632,1448.92236587715,8243.12888930848,5186.92871577245,0
0,2024.40019950822,4265.55018953909,1058.83826705058,5657.31261691452,7974.62879233237,2986.91157917006,2551.53124729103,5197.70311233316,58729.4749119727,4015.23745809495,6835.73888478516,5068.69704035906,2978.92266238361,2183.12475114685,2251.21441200133,1463.92770837137,10282.4876112901,5174.8738899804,702.304313640198,371.76907304794,242.268195592055,242.268195592055,11.817960760588,47.2718430423521,2566.27639815582,771.787465595952,6482.15147718254,6895.78010380312,7365.40230096385,656.717714530912,3290.05692799306,4115.83389146373,624.244321323562,2797.14522233634,5004.84075721587,26039.0796316902,8540.64522146849,13431.5493578856,17604.1430705513,6560.08564240829,37468.2291997915,1522.44604472732,2130.18378011346,4059.3977226422,3394.6661331911,5854.656310127,8998.65981201544,9994.80106424958,2052.23741872929,2720.37814652675,7508.32724172547,4559.82553232313,0
0,456.936045031856,1576.99451820079,2789.91316934747,4784.68690029655,1844.71486419013,2666.28265259248,3199.53918311097,5194.94140119303,4655.43245593049,5610.2193305286,2732.31563049884,6449.06254805969,4255.60380340516,8498.4407954001,9277.21629142324,3361.92700469007,1912.22538497951,2300.60589248221,850.157853353923,318.809195007721,140.214111304337,472.718430423521,862.711135522926,259.995136732937,460.900469662933,3829.01928643052,1731.33125142615,2085.87007424379,2469.9537989629,2161.65259198936,14466.9315848902,2573.23066229312,3216.3107752337,4451.73867630486,6886.32673051686,14461.7394801506,14057.825463268,14837.8951194655,10955.8676134,8937.48892589465,17673.6895606485,351.413124302221,2529.35302824218,7871.06361935502,10250.0704885758,5377.08615794141,4859.71849307369,10068.9770612115,9144.87831517087,2182.1571703787,12159.5347528617,7757.37953631736,0
0,841.572082938418,2038.86020093328,1898.30647975353,917.375317625986,849.502512265802,2176.90165939513,1272.39058231312,3052.3116212151,3340.63325001339,3341.75406109338,2637.5140968508,4060.34158351575,2293.77045003538,1408.60485892711,2063.9678446515,3604.49642148417,1906.51050392551,2175.24519313934,2596.67779122231,1025.73393176397,443.560619141177,455.654325429921,868.62011590322,525.899253846167,6251.70124235107,4094.92340354375,3829.01928643052,2292.68438755408,2475.86277934319,3401.64020722901,10305.9880961326,31610.5194739822,4378.94080350128,10275.0985986264,24594.323334466,9641.5297181248,8467.75250666664,8388.05888323109,6812.59481653395,6531.5828871999,14619.2841762152,4295.28380284395,3957.64153894536,2025.25120093517,2241.92654776011,2715.07475409213,512.945719014148,2989.3977809678,5203.12042070067,1217.2148378124,6464.48294693113,6628.46007534109,0
0,1075.82410602437,1752.55217271712,2102.48420720354,716.481567150212,755.99676645802,3999.42397888872,604.132398498802,3758.46599043856,5322.6738136805,4855.19283040315,1600.04796408712,2259.72561960814,2587.40711247034,1480.95012358499,153.201736922586,1365.72666052422,191.98387981429,2587.79244164039,1270.61635691483,2407.2404434641,2374.89748165172,494.385273417771,27.7225386963236,2381.31909325849,1229.06791910116,3066.76081737259,6789.41845695782,2334.04725021614,2498.94447631155,5031.2180075819,16715.6315796283,83951.9620189584,6040.32873122507,8150.22078651911,12013.5746926067,15483.1352571263,5613.83707149559,6437.92635076931,30497.924964276,17145.7276158164,27701.1227583939,10686.2693085594,9670.79558175811,2816.77950872424,2131.37790142085,3524.29084529548,2906.29773805554,987.400348949541,3125.62791826814,2829.58663991928,5313.35277946939,11187.3367484462,0
0,3374.96433260871,1865.34018383258,1709.17216844194,2276.00422430424,1240.31000120848,2804.6593472207,2616.77681858959,2916.37280899877,6233.01937946032,3509.06942673688,3346.00966489679,1582.02764028352,880.909987304868,1212.84708397047,273.188082568397,921.883857399716,405.673283281127,1020.34213861565,503.626119649878,734.647275452575,4560.35761554523,642.238813131496,161.714809061888,3160.75301240099,1093.16137035439,324.993920916171,1884.96474131379,5802.24453433908,14636.0310615215,4385.12157108237,2849.4898550712,23847.917584082,15654.7380447389,5700.67573280897,20620.927796019,13529.9733901594,5754.74858846625,1833.351866145,10560.0718597956,12587.7231522784,11645.7445738521,6116.17772931811,3502.18111602763,3197.04462876645,4551.01546775594,5074.6529077128,7472.90706333748,3131.91853227397,4548.77593617186,4865.57865361415,5656.59085578066,6276.88099992563,5867.14806067391
0,1729.41617043702,2863.08028216163,1003.52409889908,711.43207011289,536.958462915999,1064.09785580007,1343.85835561485,3163.14281591405,3522.08100779082,5500.89949901805,1808.00067743046,524.028392805397,574.506513459696,685.15221234823,410.62434806335,577.636087864379,349.119060171448,395.899782840159,292.15073159226,614.516274435173,471.283157837501,1663.35232177941,1820.44670772525,2043.51557456008,650.208787214769,537.717214606756,1928.86288869556,4034.31597111328,4220.27216963221,8160.00446852262,20061.9040372021,10293.0726562989,9806.3642091572,25181.8877345277,19501.1623305051,10713.1316821626,2064.82992196268,9203.85026443316,3248.10605186962,4444.55119635419,2728.69791504371,9726.85569082104,4351.19471991311,3645.86725955847,3733.13691174191,8326.95237243926,4895.680042368,24334.1632419738,6300.8977130035,5373.2115102907,6762.49434106643,5081.82659377478,5314.11989435657
